epoch,train_loss,valid_loss,time
0,0.5411285758018494,0.10197629034519196,00:06
1,0.2420651763677597,0.07243872433900833,00:06
2,0.138010635972023,0.05781383812427521,00:06
3,0.09467974305152893,0.06641660630702972,00:06
4,0.07610718160867691,0.0570543110370636,00:06
5,0.06621336936950684,0.0484863743185997,00:06
6,0.05848047509789467,0.039080943912267685,00:06
7,0.052415091544389725,0.03383469209074974,00:06
8,0.044833436608314514,0.03147426247596741,00:06
9,0.041431523859500885,0.030500927940011024,00:06
